"Source:","C:\Users\Armand\Documents\KiCad\SumoBoard\SumoBoard\SumoBoard.kicad_sch"
"Date:","Sun Feb 20 17:03:25 2022"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","39"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C101","22u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C102","22u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C201","10u","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","","","",""
"","","C202","20p","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","","","",""
"","","C203","100n","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","","","",""
"","","C204","100n","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","","","",""
"","","C205","20p","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","","","",""
"","","C206","100n","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","","","",""
"","","C207","100n","Device:C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","","","",""
"","","C208","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C209","10u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","D101","GREEN","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"","","D201","BLUE","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","",""
"","","H1","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","",""
"","","H2","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","",""
"","","H3","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","",""
"","","H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","",""
"","","IC101","LMS8117AMP-3.3_NOPB","SamacSys_Parts:LMS8117AMP-3.3_NOPB","SamacSys_Parts:SOT230P700X180-4N","https://www.ti.com/lit/ds/symlink/lms8117a.pdf?ts=1607588040067&ref_url=https%253A%252F%252Fwww.ti.com%252Fstore%252Fti%252Fen%252Fp%252Fproduct%252F%253Fp%253DLMS8117AMP-3.3%252FNOPB%2526keyMatch%253DLMS8117AMP-3.3%252FNOPB%2526tisearch%253DSearch-EN-eve","LMS8117AMP-3.3/NOPB, Low Dropout Voltage Regulator, 1A, 3.3 V +/-1%, 2.5  15 Vin, 4-Pin SOT-223","1.8","Texas Instruments","LMS8117AMP-3.3/NOPB","926-LMS8117AMP33NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LMS8117AMP-33-NOPB?qs=7lkVKPoqpbZFA2Dk3hw4bA%3D%3D"
"","","J201","Conn_01x03","Connector_Generic:Conn_01x03","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","",""
"","","J202","Conn_01x03","Connector_Generic:Conn_01x03","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","",""
"","","J203","Conn_01x03","Connector_Generic:Conn_01x03","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","",""
"","","J204","Conn_01x03","Connector_Generic:Conn_01x03","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","",""
"","","J205","Conn_01x03","Connector_Generic:Conn_01x03","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","",""
"","","J206","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","",""
"","","J207","Conn_02x04_Odd_Even","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~","","","","","",""
